[2025-07-11T17:30:21,105Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 219ms  /
[2025-07-11T17:31:27,230Z] [     172.18.0.1 -> webapi-1  ] POST  200 9ms    /api/stat/device
[2025-07-11T17:31:27,398Z] [     172.18.0.1 -> webapi-4  ] GET   200 95ms   /v2/api/site/default/apgroups
[2025-07-11T17:31:27,554Z] [     172.18.0.1 -> webapi-3  ] GET   200 87ms   /v2/api/timezones
[2025-07-11T17:31:51,812Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 4ms    /
[2025-07-11T17:31:51,820Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 4ms    /setup/
[2025-07-11T17:32:21,926Z] [0:0:0:0:0:0:0:1 -> webapi-1  ] HEAD  302 2ms    /
[2025-07-11T17:32:21,932Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 5ms    /setup/
[2025-07-11T17:32:52,026Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 3ms    /
[2025-07-11T17:32:52,031Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 3ms    /setup/
[2025-07-11T17:33:22,109Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 3ms    /
[2025-07-11T17:33:22,114Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:33:52,199Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 4ms    /
[2025-07-11T17:33:52,205Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 5ms    /setup/
[2025-07-11T17:34:22,285Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 3ms    /
[2025-07-11T17:34:22,290Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 3ms    /setup/
[2025-07-11T17:34:52,366Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 3ms    /
[2025-07-11T17:34:52,369Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:35:22,443Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 2ms    /
[2025-07-11T17:35:22,446Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 2ms    /setup/
[2025-07-11T17:35:52,525Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 4ms    /
[2025-07-11T17:35:52,532Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 5ms    /setup/
[2025-07-11T17:36:22,605Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:36:22,608Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 2ms    /setup/
[2025-07-11T17:36:52,683Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 2ms    /
[2025-07-11T17:36:52,687Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:37:22,760Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:37:22,765Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 3ms    /setup/
[2025-07-11T17:37:52,841Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 2ms    /
[2025-07-11T17:37:52,845Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:38:22,918Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:38:22,922Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 3ms    /setup/
[2025-07-11T17:38:53,023Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 8ms    /
[2025-07-11T17:38:53,041Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 12ms   /setup/
[2025-07-11T17:39:23,179Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 3ms    /
[2025-07-11T17:39:23,182Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:39:50,969Z] [     172.18.0.1 -> inform-1  ] GET   302 0ms    /
[2025-07-11T17:39:51,342Z] [     172.18.0.1 -> webapi-2  ] GET   302 0ms    /
[2025-07-11T17:39:52,129Z] [     172.18.0.1 -> webapi-6  ] POST  200 4ms    /api/logout
[2025-07-11T17:39:52,540Z] [     172.18.0.1 -> webapi-6  ] GET   200 4ms    /api/stat/sysinfo
[2025-07-11T17:39:53,093Z] [     172.18.0.1 -> webapi-6  ] GET   200 2ms    /api/stat/sdn
[2025-07-11T17:39:53,358Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 20ms   /
[2025-07-11T17:39:53,367Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 6ms    /setup/
[2025-07-11T17:39:53,442Z] [     172.18.0.1 -> webapi-6  ] GET   200 26ms   /api/stat/ccode
[2025-07-11T17:39:53,697Z] [     172.18.0.1 -> webapi-6  ] POST  200 3ms    /api/stat/device
[2025-07-11T17:39:53,920Z] [     172.18.0.1 -> webapi-6  ] GET   200 7ms    /v2/api/site/default/apgroups
[2025-07-11T17:40:05,418Z] [     172.18.0.1 -> webapi-6  ] GET   302 1ms    /
[2025-07-11T17:40:06,518Z] [     172.18.0.1 -> webapi-2  ] POST  200 4ms    /api/logout
[2025-07-11T17:40:06,632Z] [     172.18.0.1 -> webapi-6  ] GET   200 3ms    /api/stat/sysinfo
[2025-07-11T17:40:06,781Z] [     172.18.0.1 -> webapi-6  ] GET   200 1ms    /api/stat/sdn
[2025-07-11T17:40:06,902Z] [     172.18.0.1 -> webapi-2  ] GET   200 3ms    /api/stat/ccode
[2025-07-11T17:40:07,009Z] [     172.18.0.1 -> webapi-6  ] POST  200 5ms    /api/stat/device
[2025-07-11T17:40:07,096Z] [     172.18.0.1 -> webapi-2  ] GET   200 5ms    /v2/api/site/default/apgroups
[2025-07-11T17:40:07,182Z] [     172.18.0.1 -> webapi-6  ] GET   200 11ms   /v2/api/timezones
[2025-07-11T17:40:23,454Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  302 3ms    /
[2025-07-11T17:40:23,459Z] [0:0:0:0:0:0:0:1 -> webapi-6  ] HEAD  200 3ms    /setup/
[2025-07-11T17:40:53,532Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:40:53,535Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:41:23,606Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:41:23,610Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:41:53,690Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 3ms    /
[2025-07-11T17:41:53,695Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 4ms    /setup/
[2025-07-11T17:42:23,768Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:42:23,771Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:42:53,859Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:42:53,862Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:43:23,938Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:43:23,940Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T17:43:54,015Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 4ms    /
[2025-07-11T17:43:54,019Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 3ms    /setup/
[2025-07-11T17:44:24,093Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:44:24,096Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:44:54,169Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:44:54,172Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:45:24,242Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:45:24,247Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 4ms    /setup/
[2025-07-11T17:45:54,317Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:45:54,320Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:46:24,392Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:46:24,395Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:46:54,472Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:46:54,475Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T17:47:24,591Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:47:24,595Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 3ms    /setup/
[2025-07-11T17:47:54,666Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:47:54,669Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:48:24,745Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:48:24,751Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 5ms    /setup/
[2025-07-11T17:48:54,893Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 3ms    /
[2025-07-11T17:48:54,899Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 4ms    /setup/
[2025-07-11T17:49:25,000Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:49:25,004Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:49:55,085Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 5ms    /
[2025-07-11T17:49:55,089Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:49:56,512Z] [     172.18.0.1 -> portal-1  ] GET   302 1ms    /
[2025-07-11T17:49:56,781Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:56,991Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:57,182Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:57,371Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:57,565Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:57,727Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:57,962Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:58,228Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:58,396Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:58,601Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:58,798Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:58,870Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:58,932Z] [     172.18.0.1 -> portal-1  ] GET   302 -1ms   /
[2025-07-11T17:49:58,988Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:59,041Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:59,090Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:59,158Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:59,238Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:49:59,292Z] [     172.18.0.1 -> portal-1  ] GET   302 0ms    /
[2025-07-11T17:50:25,183Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:50:25,186Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T17:50:55,274Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:50:55,277Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:51:25,352Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:51:25,354Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T17:51:55,430Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 3ms    /
[2025-07-11T17:51:55,435Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 3ms    /setup/
[2025-07-11T17:52:25,504Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:52:25,508Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T17:52:55,586Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 9ms    /
[2025-07-11T17:52:55,598Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 10ms   /setup/
[2025-07-11T17:53:25,683Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:53:25,687Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 3ms    /setup/
[2025-07-11T17:53:55,766Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:53:55,770Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:54:25,839Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:54:25,843Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 3ms    /setup/
[2025-07-11T17:54:55,912Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:54:55,914Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T17:55:26,030Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:55:26,034Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:55:56,108Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T17:55:56,111Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:56:26,187Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:56:26,189Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T17:56:56,286Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 5ms    /
[2025-07-11T17:56:56,302Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 13ms   /setup/
[2025-07-11T17:57:26,383Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:57:26,385Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T17:57:56,456Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:57:56,459Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T17:58:26,538Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T17:58:26,541Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T17:58:56,612Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:58:56,616Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:59:26,683Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T17:59:26,686Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T17:59:56,760Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T17:59:56,762Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:00:26,833Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T18:00:26,838Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 3ms    /setup/
[2025-07-11T18:00:56,911Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:00:56,914Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T18:01:27,042Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 6ms    /
[2025-07-11T18:01:27,055Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 11ms   /setup/
[2025-07-11T18:01:57,133Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 3ms    /
[2025-07-11T18:01:57,137Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T18:02:27,209Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:02:27,212Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T18:02:57,286Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 3ms    /
[2025-07-11T18:02:57,289Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T18:03:27,379Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:03:27,384Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 4ms    /setup/
[2025-07-11T18:03:57,461Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:03:57,467Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 4ms    /setup/
[2025-07-11T18:04:27,538Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:04:27,543Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 2ms    /setup/
[2025-07-11T18:04:57,618Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:04:57,620Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:05:27,717Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 4ms    /
[2025-07-11T18:05:27,729Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 9ms    /setup/
[2025-07-11T18:05:57,808Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:05:57,810Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:06:27,920Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 2ms    /
[2025-07-11T18:06:27,923Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T18:06:58,002Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:06:58,004Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:07:28,097Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:07:28,099Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:07:58,170Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:07:58,173Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:08:28,258Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:08:28,263Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 3ms    /setup/
[2025-07-11T18:08:58,338Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:08:58,341Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:09:28,413Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:09:28,415Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:09:58,530Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:09:58,532Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:10:28,600Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:10:28,603Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:10:58,680Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T18:10:58,683Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:11:28,754Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:11:28,757Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:11:58,825Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:11:58,829Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T18:12:28,900Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:12:28,902Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:12:58,971Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:12:58,973Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:13:29,045Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:13:29,047Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:13:59,120Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:13:59,122Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T18:14:29,195Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 1ms    /
[2025-07-11T18:14:29,197Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:14:59,272Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  302 2ms    /
[2025-07-11T18:14:59,275Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  200 1ms    /setup/
[2025-07-11T18:15:29,346Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:15:29,349Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T18:15:59,420Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:15:59,422Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
[2025-07-11T18:16:29,491Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:16:29,494Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 2ms    /setup/
[2025-07-11T18:16:59,564Z] [0:0:0:0:0:0:0:1 -> webapi-2  ] HEAD  302 1ms    /
[2025-07-11T18:16:59,567Z] [0:0:0:0:0:0:0:1 -> webapi-8  ] HEAD  200 1ms    /setup/
